ts,zemlja,gorivo,cena_eur
2026-08-07 12:56 UTC,Bosnia and Herzegovina,petrol95,1.49
2026-08-07 12:56 UTC,Bosnia and Herzegovina,diesel,1.69
2026-08-07 12:56 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-07 12:56 UTC,Montenegro,petrol95,1.65
2026-08-07 12:56 UTC,Montenegro,diesel,1.65
2026-08-07 12:56 UTC,Slovenia,petrol95,1.61
2026-08-07 12:56 UTC,Slovenia,diesel,1.83
2026-08-07 12:56 UTC,Slovenia,lpg,0.94
2026-08-07 12:56 UTC,North Macedonia,petrol95,1.46
2026-08-07 12:56 UTC,North Macedonia,diesel,1.53
2026-08-07 12:56 UTC,North Macedonia,lpg,0.76
2026-08-07 12:56 UTC,Hungary,petrol95,1.65
2026-08-07 12:56 UTC,Hungary,diesel,1.69
2026-08-07 12:56 UTC,Hungary,lpg,1.01
2026-08-07 12:56 UTC,Bulgaria,petrol95,1.515
2026-08-07 12:56 UTC,Bulgaria,diesel,1.679
2026-08-07 12:56 UTC,Albania,petrol95,1.89
2026-08-07 12:56 UTC,Albania,diesel,2.06
2026-08-07 12:56 UTC,Albania,lpg,0.69
2026-08-07 12:56 UTC,Greece,petrol95,2.017
2026-08-07 12:56 UTC,Greece,diesel,2.041
2026-08-07 12:56 UTC,Romania,petrol95,1.768
2026-08-07 12:56 UTC,Romania,diesel,1.995
2026-08-07 12:56 UTC,Kosovo,petrol95,1.51
2026-08-07 12:56 UTC,Kosovo,diesel,1.55
2026-08-07 14:12 UTC,Serbia,petrol95,1.72
2026-08-07 14:12 UTC,Serbia,diesel,1.93
2026-08-07 14:12 UTC,Serbia,lpg,0.9
2026-08-07 14:12 UTC,Croatia,petrol95,1.67
2026-08-07 14:12 UTC,Croatia,diesel,1.87
2026-08-07 14:12 UTC,Croatia,lpg,0.0
2026-08-07 14:12 UTC,Bosnia and Herzegovina,petrol95,1.51
2026-08-07 14:12 UTC,Bosnia and Herzegovina,diesel,1.72
2026-08-07 14:12 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-07 14:12 UTC,Montenegro,petrol95,1.65
2026-08-07 14:12 UTC,Montenegro,diesel,1.65
2026-08-07 14:12 UTC,Slovenia,petrol95,1.59
2026-08-07 14:12 UTC,Slovenia,diesel,1.88
2026-08-07 14:12 UTC,Slovenia,lpg,0.94
2026-08-07 14:12 UTC,North Macedonia,petrol95,1.51
2026-08-07 14:12 UTC,North Macedonia,diesel,1.6
2026-08-07 14:12 UTC,North Macedonia,lpg,0.76
2026-08-07 14:12 UTC,Hungary,petrol95,1.65
2026-08-07 14:12 UTC,Hungary,diesel,1.69
2026-08-07 14:12 UTC,Hungary,lpg,1.01
2026-08-07 14:12 UTC,Bulgaria,petrol95,1.533
2026-08-07 14:12 UTC,Bulgaria,diesel,1.743
2026-08-07 14:12 UTC,Albania,petrol95,1.89
2026-08-07 14:12 UTC,Albania,diesel,2.06
2026-08-07 14:12 UTC,Albania,lpg,0.69
2026-08-07 14:12 UTC,Greece,petrol95,2.02
2026-08-07 14:12 UTC,Greece,diesel,2.064
2026-08-07 14:12 UTC,Romania,petrol95,1.803
2026-08-07 14:12 UTC,Romania,diesel,2.028
2026-08-07 14:12 UTC,Kosovo,petrol95,1.51
2026-08-07 14:12 UTC,Kosovo,diesel,1.55
2026-08-07 15:24 UTC,Serbia,petrol95,1.72
2026-08-07 15:24 UTC,Serbia,diesel,1.94
2026-08-07 15:24 UTC,Serbia,lpg,0.9
2026-08-07 15:24 UTC,Croatia,petrol95,1.67
2026-08-07 15:24 UTC,Croatia,diesel,1.87
2026-08-07 15:24 UTC,Croatia,lpg,0.0
2026-08-07 15:24 UTC,Bosnia and Herzegovina,petrol95,1.51
2026-08-07 15:24 UTC,Bosnia and Herzegovina,diesel,1.72
2026-08-07 15:24 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-07 15:24 UTC,Montenegro,petrol95,1.65
2026-08-07 15:24 UTC,Montenegro,diesel,1.65
2026-08-07 15:24 UTC,Slovenia,petrol95,1.59
2026-08-07 15:24 UTC,Slovenia,diesel,1.88
2026-08-07 15:24 UTC,Slovenia,lpg,0.94
2026-08-07 15:24 UTC,North Macedonia,petrol95,1.51
2026-08-07 15:24 UTC,North Macedonia,diesel,1.6
2026-08-07 15:24 UTC,North Macedonia,lpg,0.76
2026-08-07 15:24 UTC,Hungary,petrol95,1.65
2026-08-07 15:24 UTC,Hungary,diesel,1.69
2026-08-07 15:24 UTC,Hungary,lpg,1.01
2026-08-07 15:24 UTC,Bulgaria,petrol95,1.533
2026-08-07 15:24 UTC,Bulgaria,diesel,1.743
2026-08-07 15:24 UTC,Albania,petrol95,1.89
2026-08-07 15:24 UTC,Albania,diesel,2.06
2026-08-07 15:24 UTC,Albania,lpg,0.69
2026-08-07 15:24 UTC,Greece,petrol95,2.02
2026-08-07 15:24 UTC,Greece,diesel,2.064
2026-08-07 15:24 UTC,Romania,petrol95,1.803
2026-08-07 15:24 UTC,Romania,diesel,2.028
2026-08-07 15:24 UTC,Kosovo,petrol95,1.51
2026-08-07 15:24 UTC,Kosovo,diesel,1.55
2026-08-07 18:10 UTC,Serbia,petrol95,1.72
2026-08-07 18:10 UTC,Serbia,diesel,1.94
2026-08-07 18:10 UTC,Serbia,lpg,0.9
2026-08-07 18:10 UTC,Croatia,petrol95,1.67
2026-08-07 18:10 UTC,Croatia,diesel,1.87
2026-08-07 18:10 UTC,Croatia,lpg,0.0
2026-08-07 18:10 UTC,Bosnia and Herzegovina,petrol95,1.51
2026-08-07 18:10 UTC,Bosnia and Herzegovina,diesel,1.72
2026-08-07 18:10 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-07 18:10 UTC,Montenegro,petrol95,1.65
2026-08-07 18:10 UTC,Montenegro,diesel,1.65
2026-08-07 18:10 UTC,Slovenia,petrol95,1.59
2026-08-07 18:10 UTC,Slovenia,diesel,1.88
2026-08-07 18:10 UTC,Slovenia,lpg,0.94
2026-08-07 18:10 UTC,North Macedonia,petrol95,1.51
2026-08-07 18:10 UTC,North Macedonia,diesel,1.6
2026-08-07 18:10 UTC,North Macedonia,lpg,0.76
2026-08-07 18:10 UTC,Hungary,petrol95,1.65
2026-08-07 18:10 UTC,Hungary,diesel,1.69
2026-08-07 18:10 UTC,Hungary,lpg,1.01
2026-08-07 18:10 UTC,Bulgaria,petrol95,1.533
2026-08-07 18:10 UTC,Bulgaria,diesel,1.743
2026-08-07 18:10 UTC,Albania,petrol95,1.89
2026-08-07 18:10 UTC,Albania,diesel,2.06
2026-08-07 18:10 UTC,Albania,lpg,0.69
2026-08-07 18:10 UTC,Greece,petrol95,2.02
2026-08-07 18:10 UTC,Greece,diesel,2.064
2026-08-07 18:10 UTC,Romania,petrol95,1.803
2026-08-07 18:10 UTC,Romania,diesel,2.028
2026-08-07 18:10 UTC,Kosovo,petrol95,1.51
2026-08-07 18:10 UTC,Kosovo,diesel,1.55
