ts,zemlja,gorivo,cena_eur
2026-07-18 08:42 UTC,Serbia,diesel,1.87
2026-07-18 08:42 UTC,Serbia,lpg,0.9
2026-07-18 08:42 UTC,Croatia,petrol95,1.54
2026-07-18 08:42 UTC,Croatia,diesel,1.54
2026-07-18 08:42 UTC,Croatia,lpg,0.7
2026-07-18 08:42 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-18 08:42 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-18 08:42 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-18 08:42 UTC,Montenegro,petrol95,1.64
2026-07-18 08:42 UTC,Montenegro,diesel,1.67
2026-07-18 08:42 UTC,Slovenia,petrol95,1.59
2026-07-18 08:42 UTC,Slovenia,diesel,1.73
2026-07-18 08:42 UTC,Slovenia,lpg,0.94
2026-07-18 08:42 UTC,North Macedonia,petrol95,1.36
2026-07-18 08:42 UTC,North Macedonia,diesel,1.34
2026-07-18 08:42 UTC,North Macedonia,lpg,0.76
2026-07-18 08:42 UTC,Hungary,petrol95,1.65
2026-07-18 08:42 UTC,Hungary,diesel,1.69
2026-07-18 08:42 UTC,Hungary,lpg,1.01
2026-07-18 08:42 UTC,Bulgaria,petrol95,1.46
2026-07-18 08:42 UTC,Bulgaria,diesel,1.498
2026-07-18 08:42 UTC,Albania,petrol95,1.82
2026-07-18 08:42 UTC,Albania,diesel,1.85
2026-07-18 08:42 UTC,Albania,lpg,0.69
2026-07-18 08:42 UTC,Greece,petrol95,1.979
2026-07-18 08:42 UTC,Greece,diesel,1.854
2026-07-18 08:42 UTC,Romania,petrol95,1.652
2026-07-18 08:42 UTC,Romania,diesel,1.806
2026-07-18 08:42 UTC,Kosovo,petrol95,1.47
2026-07-18 08:42 UTC,Kosovo,diesel,1.47
2026-07-18 21:41 UTC,Serbia,petrol95,1.69
2026-07-18 21:41 UTC,Serbia,diesel,1.89
2026-07-18 21:41 UTC,Serbia,lpg,0.9
2026-07-18 21:41 UTC,Croatia,petrol95,1.54
2026-07-18 21:41 UTC,Croatia,diesel,1.54
2026-07-18 21:41 UTC,Croatia,lpg,0.7
2026-07-18 21:41 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-18 21:41 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-18 21:41 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-18 21:41 UTC,Montenegro,petrol95,1.64
2026-07-18 21:41 UTC,Montenegro,diesel,1.67
2026-07-18 21:41 UTC,Slovenia,petrol95,1.59
2026-07-18 21:41 UTC,Slovenia,diesel,1.73
2026-07-18 21:41 UTC,Slovenia,lpg,0.94
2026-07-18 21:41 UTC,North Macedonia,petrol95,1.36
2026-07-18 21:41 UTC,North Macedonia,diesel,1.34
2026-07-18 21:41 UTC,North Macedonia,lpg,0.76
2026-07-18 21:41 UTC,Hungary,petrol95,1.65
2026-07-18 21:41 UTC,Hungary,diesel,1.69
2026-07-18 21:41 UTC,Hungary,lpg,1.01
2026-07-18 21:41 UTC,Bulgaria,petrol95,1.46
2026-07-18 21:41 UTC,Bulgaria,diesel,1.498
2026-07-18 21:41 UTC,Albania,petrol95,1.82
2026-07-18 21:41 UTC,Albania,diesel,1.85
2026-07-18 21:41 UTC,Albania,lpg,0.69
2026-07-18 21:41 UTC,Greece,petrol95,1.979
2026-07-18 21:41 UTC,Greece,diesel,1.854
2026-07-18 21:41 UTC,Romania,petrol95,1.652
2026-07-18 21:41 UTC,Romania,diesel,1.806
2026-07-18 21:41 UTC,Kosovo,petrol95,1.47
2026-07-18 21:41 UTC,Kosovo,diesel,1.47
2026-07-25 08:54 UTC,Serbia,petrol95,1.7
2026-07-25 08:54 UTC,Serbia,diesel,1.91
2026-07-25 08:54 UTC,Serbia,lpg,0.9
2026-07-25 08:54 UTC,Croatia,petrol95,1.54
2026-07-25 08:54 UTC,Croatia,diesel,1.54
2026-07-25 08:54 UTC,Croatia,lpg,0.7
2026-07-25 08:54 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-25 08:54 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-25 08:54 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-25 08:54 UTC,Montenegro,petrol95,1.65
2026-07-25 08:54 UTC,Montenegro,diesel,1.65
2026-07-25 08:54 UTC,Slovenia,petrol95,1.65
2026-07-25 08:54 UTC,Slovenia,diesel,1.85
2026-07-25 08:54 UTC,Slovenia,lpg,0.94
2026-07-25 08:54 UTC,North Macedonia,petrol95,1.46
2026-07-25 08:54 UTC,North Macedonia,diesel,1.53
2026-07-25 08:54 UTC,North Macedonia,lpg,0.76
2026-07-25 08:54 UTC,Hungary,petrol95,1.65
2026-07-25 08:54 UTC,Hungary,diesel,1.69
2026-07-25 08:54 UTC,Hungary,lpg,1.01
2026-07-25 08:54 UTC,Bulgaria,petrol95,1.477
2026-07-25 08:54 UTC,Bulgaria,diesel,1.578
2026-07-25 08:54 UTC,Albania,petrol95,1.82
2026-07-25 08:54 UTC,Albania,diesel,1.85
2026-07-25 08:54 UTC,Albania,lpg,0.69
2026-07-25 08:54 UTC,Greece,petrol95,1.977
2026-07-25 08:54 UTC,Greece,diesel,1.95
